Time,oriX,oriY,oriZ,accX,accY,accZ,magX,magY,magZ
20-04-2018_12:48:06, 552, 188, 740, -510, 783, 447, 511, -132, 624
20-04-2018_12:48:07, -18, -40, 156, -177, 953, 321, 256, -512, 505
20-04-2018_12:48:08, -20, 63, -476, 609, 661, -454, -85, -505, 99
20-04-2018_12:48:09, -51, -65, -54, 565, 841, -594, -122, -446, 44
20-04-2018_12:48:10, 40, 90, -903, -215, 805, -74, 487, -457, 141
20-04-2018_12:48:11, -107, -165, -760, -1332, 1104, -114, 636, -286, 130
20-04-2018_12:48:12, -155, 49, 32, -715, 351, -155, 723, -76, 213
20-04-2018_12:48:14, 6, -71, -172, -679, -626, -73, 495, 485, 114
20-04-2018_12:48:15, 194, 44, -519, -827, 485, -346, 617, -146, 0
20-04-2018_12:48:16, 237, 8, -696, -925, 108, -20, 691, 31, 35
20-04-2018_12:48:17, -29, -3, -135, -1010, -316, -510, 625, 248, 12
20-04-2018_12:48:18, 43, -207, 420, 806, -338, -263, -391, 31, 118
20-04-2018_12:48:19, 22, 224, -387, 704, -267, -632, -348, 140, 48
20-04-2018_12:48:20, -52, 7, -204, 193, -806, -376, -142, 477, 37
20-04-2018_12:48:21, -112, 73, 412, -841, -557, 38, 527, 451, 308
20-04-2018_12:48:22, -68, 82, -6, 657, -137, 417, -340, -4, 544
20-04-2018_12:48:23, -122, 305, -611, -823, -323, -354, 499, 454, 43
20-04-2018_12:48:24, 59, -79, 7, 759, 208, -83, -365, -189, 255
20-04-2018_12:48:25, 106, -282, 278, -250, -483, -788, 54, 324, -211
20-04-2018_12:48:26, -45, 63, -133, -830, -158, -777, 352, 52, -272
20-04-2018_12:48:27, 86, 5, -3, 393, 34, 1169, 106, 132, 865
20-04-2018_12:48:28, -149, 32, 400, -707, 726, -534, 540, -31, -156
20-04-2018_12:48:29, 229, -144, -527, 222, -136, 703, -106, 93, 784
20-04-2018_12:48:30, 670, -347, 0, -305, 126, 947, 675, 104, 41
20-04-2018_12:48:31, 55, 1, -1, -98, -950, 66, 190, 711, 207
20-04-2018_12:48:32, -1, 0, -1, -92, -966, -46, 194, 706, 125
20-04-2018_12:48:33, -2, 0, -1, -76, -951, -54, 195, 706, 120
20-04-2018_12:48:34, -405, 203, -278, -931, 1458, 1193, 503, 287, 557
20-04-2018_12:48:35, 81, -30, 204, -486, 363, 810, 212, -135, 730
20-04-2018_12:48:36, 45, 17, -8, 99, 518, 986, -102, -213, 640
20-04-2018_12:48:37, -287, -205, 45, -1216, -1229, 865, 226, -273, 686
20-04-2018_12:48:38, 129, 19, -325, -1116, -981, 680, 407, 278, 595
